[ 2025-10-07 12:48:54,805 ] 18 root - INFO - Initiale the data ingestion
[ 2025-10-07 12:48:58,362 ] 69 root - INFO - Performed train test split on the dataframe
[ 2025-10-07 12:48:58,362 ] 71 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-10-07 12:48:58,362 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-07 12:48:58,435 ] 81 root - INFO - Exported train and test file path.
[ 2025-10-07 12:48:58,436 ] 20 root - INFO - Data Initiation completed
[ 2025-10-07 12:48:58,442 ] 24 root - INFO - Initiale the data Validation
[ 2025-10-07 12:48:58,472 ] 37 root - INFO - Required number of columns: 2
[ 2025-10-07 12:48:58,477 ] 38 root - INFO - DataFrame has 31 columns
[ 2025-10-07 12:48:58,477 ] 37 root - INFO - Required number of columns: 2
[ 2025-10-07 12:48:58,477 ] 38 root - INFO - DataFrame has 31 columns
[ 2025-10-07 12:48:58,659 ] 26 root - INFO - Data Validation completed
[ 2025-10-07 12:48:58,659 ] 30 root - INFO - Initial the data transformation
[ 2025-10-07 12:48:58,659 ] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-07 12:48:58,659 ] 62 root - INFO - Starting data transformation
[ 2025-10-07 12:48:58,691 ] 46 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-10-07 12:48:58,692 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-07 12:48:58,729 ] 49 root - INFO - Entered the save_object method of mainutils class
[ 2025-10-07 12:48:58,732 ] 53 root - INFO - Exited the save_object method of mainutils class
[ 2025-10-07 12:48:58,734 ] 32 root - INFO - Data Transformation completed
[ 2025-10-07 12:48:58,734 ] 35 root - INFO - Model Training started
[ 2025-10-07 12:54:28,242 ] 49 root - INFO - Entered the save_object method of mainutils class
[ 2025-10-07 12:54:28,303 ] 53 root - INFO - Exited the save_object method of mainutils class
[ 2025-10-07 12:54:28,304 ] 114 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_07_2025_12_48_52\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917071197411004, precision_score=0.9901050080775444, recall_score=0.9933144246353323), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.973170731707317, precision_score=0.9661016949152542, recall_score=0.9803439803439803))
[ 2025-10-07 12:54:28,310 ] 39 root - INFO - Model Training completed
